#fields,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,cicids_label,cicids_attack,flow_id,source_file,dataset_name
1499438040.000000,690bcfbbc53448669458,192.168.10.12,42544,52.6.13.28,8080,tcp,http-alt,60.202640,322,256,SF,T,T,0,S,9,322,9,256,-,6,Bot,Bot,192.168.10.12-52.6.13.28-42544-8080-6,new.csv,new
1499438100.000000,c25ada2fc56049ac8094,192.168.10.12,42544,52.6.13.28,8080,tcp,http-alt,0.057891,0,0,SF,T,T,0,S,1,0,1,0,-,6,Bot,Bot,192.168.10.12-52.6.13.28-42544-8080-6,new.csv,new
1499439840.000000,ddb552ec20de4dc09611,192.168.10.9,1841,205.174.165.73,8080,tcp,http-alt,0.134812,206,134,SF,T,T,0,S,4,206,3,134,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1841-8080-6,new.csv,new
1499439840.000000,db296b5a4edd4a1b903a,205.174.165.73,8080,192.168.10.9,1841,tcp,-,0.000084,6,6,SF,T,T,0,S,1,6,1,6,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1841-8080-6,new.csv,new
1499439840.000000,a1a6d84015094ce0b3d4,192.168.10.9,1845,205.174.165.73,8080,tcp,http-alt,0.127781,206,134,SF,T,T,0,S,4,206,3,134,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1845-8080-6,new.csv,new
1499439840.000000,afc28d3d12544dabba97,205.174.165.73,8080,192.168.10.9,1845,tcp,-,0.000033,6,6,SF,T,T,0,S,1,6,1,6,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1845-8080-6,new.csv,new
1499439840.000000,5bf84e58277845bda0dc,192.168.10.9,1846,205.174.165.73,8080,tcp,http-alt,0.165810,212,140,SF,T,T,0,S,5,212,4,140,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1846-8080-6,new.csv,new
1499439840.000000,66a5b5eb911947209c37,192.168.10.9,1847,205.174.165.73,8080,tcp,http-alt,0.065033,1870,134,SF,T,T,0,S,4,1870,3,134,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1847-8080-6,new.csv,new
1499439840.000000,e14c035f1ecc4716a1e3,205.174.165.73,8080,192.168.10.9,1846,tcp,-,0.000042,6,6,SF,T,T,0,S,1,6,1,6,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1846-8080-6,new.csv,new
1499439840.000000,24d5b8cc4757436cbd93,205.174.165.73,8080,192.168.10.9,1847,tcp,-,0.000029,6,6,SF,T,T,0,S,1,6,1,6,-,6,Bot,Bot,192.168.10.9-205.174.165.73-1847-8080-6,new.csv,new
